RUC|NOMBRE O RAZÓN SOCIAL|ESTADO DEL CONTRIBUYENTE|CONDICIÓN DE DOMICILIO|UBIGEO|TIPO DE VÍA|NOMBRE DE VÍA|CÓDIGO DE ZONA|TIPO DE ZONA|NÚMERO|INTERIOR|LOTE|DEPARTAMENTO|MANZANA|KILÓMETRO|
20272209325|PESCA PERU MOLLENDO S.A.|BAJA DEFINITIVA|HABIDO|150122|AV.|JOSE PARDO|-|-|601|1603|-|-|-|-|
20101599206|DAYTONA S A|BAJA DEFINITIVA|HABIDO|150101|JR.|SANTA FRANCISCA ROMANA|URB.|PANDO III ETAPA|1078|-|-|-|-|-|
20330791412|ENEL GENERACION PERU S.A.A.|ACTIVO|HABIDO|150136|CAL.|CÉSAR LÓPEZ ROJAS|URB.|MARANGA SÉPTIMA ETAPA|201|-|-|-|-|-|
20100193117|YARA PERU S.R.L.|ACTIVO|HABIDO|150140|CAL.|MONTERREY|URB.|CHACARILLA DEL ESTANQUE|355|-|-|501|-|-|
20338620919|PESCATLANTICO S.A|BAJA DEFINITIVA|HABIDO|150131|CAL.|AMADOR MERINO REYNA|URB.|JARDIN|353|-|-|-|-|-|
20100001226|ALTERNADORES Y GRUPOS ELECTROGENOS S A|BAJA DEFINITIVA|HABIDO|070101|AV.|ARGENTINA|-|-|3250|-|-|-|-|-|
20100007691|EDITORIAL IMPRENTA AMARU S A|BAJA DEFINITIVA|HABIDO|070101|CAL.|CAPPA|Z.I.|PQUE INT DE IND|165|-|-|-|-|-|
20100023386|EMBOTELLADORA LIMA S A|BAJA DEFINITIVA|HABIDO|150101|AV.|COLONIAL|Z.I.|LIMA|1111|-|-|-|-|-|
20100035554|CONSORCIO DISTRIBUIDOR S A|BAJA DEFINITIVA|HABIDO|150101|CAL.|ANTONIO MIRO QUESADA|-|-|260|3P|-|-|-|-|
20302186635|SERVICIOS CAFETEROS SAN CARLOS S.A.C.|BAJA DEFINITIVA|NO HALLADO NO EXISTE|150135|CAL.|SAN CARLOS|URB.|SANTA LUISA|6317|-|-|-|-|-|
20100072085|LABORATORIOS ABEEFE S A|BAJA DEFINITIVA|HABIDO|150136|AV.|VENEZUELA|-|-|5415|-|-|-|-|-|
20100085900|PRODUCTOS CHIPY S A|BAJA DEFINITIVA|HABIDO|150115|AV.|SAN PABLO|-|-|841|-|-|-|-|-|
20100094640|SERVICIOS DE CONSULTORIA S A|BAJA DEFINITIVA|HABIDO|070101|AV.|OSCAR R BENAVIDES|-|-|4977|-|-|-|-|-|
20100106753|SUPER MERCADO BENAVIDES S A|BAJA DEFINITIVA|HABIDO|150122|CAL.|AUGUSSTO ANGULO|URB.|SAN ANTONIO|130|255|-|-|-|-|
10452159428|GARCIA CHANCO CARLOS AUGUSTO|ACTIVO|HABIDO|150117|-|-|A.H.|VIRGEN DE FATIMA|-|-|3|-|W|-|
20100118841|PISOPAK DEL PERU S A|BAJA DEFINITIVA|HABIDO|150131|AV.|CANAVAL Y MOREYRA|URB.|EL PALOMAR|555|-|-|-|-|-|
20100127084|RICHARDSON VICKS S A|BAJA DEFINITIVA|HABIDO|150131|AV.|PARDO Y ALIAGA|-|-|695|-|-|-|-|-|
20132707830|CENTRAL TUMBES SA|BAJA DEFINITIVA|HABIDO|240101|AV.|TUMBES NORTE|A.H.|LAS MALVINAS|1776|-|-|-|-|-|
20100144175|SOC MINERA CAROLINA S A|BAJA DEFINITIVA|HABIDO|150104|AV.|PEDRO DE OSMA|-|-|450|-|-|-|-|-|
20100157587|RIFESA S A|BAJA DEFINITIVA|HABIDO|150141|JR.|LOS HALCONES|URB.|LIMATAMBO|570|-|-|-|-|-|
20100177006|ASESORIA INTERNACIONAL DE EMPRESAS SA|BAJA DEFINITIVA|HABIDO|150131|CAL.|UNO|URB.|CORPAC|795|-|-|-|-|-|
20100182344|PROAVICO S A|BAJA DEFINITIVA|HABIDO|150137|AV.|LOS ROSALES|----|KM 4.8000 CARR CENTR|280|-|-|-|-|-|
20100364299|CARMINTEX S A|BAJA DEFINITIVA|HABIDO|150113|CAL.|JOSE M PLAZA|-|-|161|-|-|-|-|-|
20101507018|DISTRIBUIDORA SUPERFINA SA|BAJA DEFINITIVA|HABIDO|150101|AV.|GUILLERMO DANSEY|-|-|2225|-|-|-|-|-|
20110548894|CENTRO CORPORATIVO S.A.|BAJA DEFINITIVA|HABIDO|150131|AV.|PASEO DE LA REPUBLICA|-|-|3135|-|-|-|-|-|
